prod_code,kind,name,image,price2,price3,content
25986,플랫/로퍼,편한느낌 가죽 키높이 플랫슈즈 4cm,//lovelyshoes.co.kr/web/product/medium/202303/e5d10f7e6860f36bcda7e374a608c382.gif,39900,39900,"리얼 가죽 소재로 편안함 ↑
키높이 효과가 정말 좋아요"
25971,플랫/로퍼,모티엔 메리제인 플랫슈즈 5cm,//lovelyshoes.co.kr/web/product/medium/202303/d1f4d49dc78d958f7409065200bd8b56.gif,47900,47900,"메리제인으로 더 소녀스럽게!
다리 라인을 날씬하게 해줘요"
25964,플랫/로퍼,너로픽 통굽 로퍼 6cm,//lovelyshoes.co.kr/web/product/medium/202303/b4778a2d94f7eef470fe89a7e93f81a6.gif,27900,27900,"도톰하고 볼드한 아웃솔의 로퍼
자연스러운 키높이 효과 GOOD!"
25958,플랫/로퍼,프리나 통굽 로퍼 6cm,//lovelyshoes.co.kr/web/product/medium/202303/2629124b12bb427afee513ea37c2db17.gif,47900,47900,"어느 룩이든 멋스럽게 스타일 ↑
트렌디한 무드를 담은 통굽 로퍼"
25946,힐/펌프스,[단독진행] 완벽무드 투웨이 미들힐 펌프스 5cm,//lovelyshoes.co.kr/web/product/medium/202303/294803fc9f45b6a14b13790dbba05e06.gif,53900,43900,"활용도 높은 2WAY 스타일 펌프스!
러블리에서 고급스럽게 만나보세요"
24830,힐/펌프스,[블리미엄] 러블리로엘 뮬 슬리퍼 5cm,//lovelyshoes.co.kr/web/product/medium/202204/90d5c4c41d938971f0b351ea452da6a1.gif,49900,39900,"가벼운 착화와 언발란스한 포인트!
러블리 블리미엄 에디션 언발 뮬슬리퍼♥"
25972,힐/펌프스,[단독진행] 시크블리 하이힐 8cm,//lovelyshoes.co.kr/web/product/medium/202303/9a7b4fb3317a2d8348b74beb159c4f74.gif,49900,39900,"러블리에서만 볼 수 있는~
블링블링 시선 집중 하이힐"
25961,힐/펌프스,[단독진행] 달빛라인 하이힐 7cm,//lovelyshoes.co.kr/web/product/medium/202303/4123b00732d27b4469d3deba2b7f50cd.gif,49900,39900,"오직 러블리에서만 만나요!
슬림하고 매력적인 하이힐"
25900,힐/펌프스,예쁨포텐 미들힐 펌프스 4cm,//lovelyshoes.co.kr/web/product/medium/202302/9c95a9c896bd9ed7569215173f43e1a4.gif,37900,37900,"에나멜소재로 시선집중! 미들 펌프스
고급스러운 실루엣에 반하고 가세요 ~"
25855,힐/펌프스,포엘즈 미들힐 펌프스 5cm,//lovelyshoes.co.kr/web/product/medium/202302/e93e80f970628b643dae064eb3d08622.gif,47900,37900,"시크하고 모던한 느낌이 가득~
신을수록 예쁜 여리핏 펌프스-"
22363,힐/펌프스,"세틸르 플랫&하이힐 1,7cm",//lovelyshoes.co.kr/web/product/medium/202204/72aefe6a7a02c821a037352c18c4627e.gif,45900,45900,"편안한 플랫슈즈와 페미닌 무드 하이힐로
취향에 맞게 스타일링 하기 좋아요 :)"
18042,힐/펌프스,퍼슨트 미들힐 펌프스 6.5cm,//lovelyshoes.co.kr/web/product/medium/201810/4de1f69a20fe631154e99099a7c94e36.jpg,39900,39900,"국내생산공정의 브랜드 퀄리티
가격 대비 퀄리티 너무 훌륭한 펌프스예요 :)"
25985,힐/펌프스,멜리드 미들힐 펌프스 5cm,//lovelyshoes.co.kr/web/product/medium/202303/e1b321baa2282f09410a13afc863d713.gif,39900,29900,"볼드한 핏으로 유니크하게!
2가지 타입으로 준비했어요~"
25966,힐/펌프스,[단독진행] 골드무드 미들힐 펌프스 6cm,//lovelyshoes.co.kr/web/product/medium/202303/fff06d262632495e1d2c60bb3db06ac5.gif,49900,39900,"세련미 넘치는 고급 펌프스 :)
러블리에서 만나볼 수 있어요"
25907,힐/펌프스,러브모어 미들힐 펌프스 5cm,//lovelyshoes.co.kr/web/product/medium/202302/03b56d43f96c82714d4521b900bbe506.gif,43900,33900,"럭셔리함↑ 두가지 소재로
취향에 맞게 good 초이스!"
25875,힐/펌프스,골디너스 미들힐 펌프스 4cm,//lovelyshoes.co.kr/web/product/medium/202302/6d615d245e9cf245ce092f44664d2847.gif,55900,45900,"데일리로 딱 좋은 베이직 라인 :)
슬림한 라인으로 더 돋보여요"
26019,블로퍼/슬리퍼,[1+1 DAY] 러블리솔트 + 러블리솔트,//lovelyshoes.co.kr/web/product/medium/202303/480ed8f24b682cba1b3572e3b10c61db.jpg,99800,69900,"❤️‍🔥지금 제일 HOT한 뮬 슬리퍼❤️‍🔥
지금이 기회! 하나를 사면 하나 더!"
25941,블로퍼/슬리퍼,[자체제작] 러블리루인 키높이 스니커즈 블로퍼 7cm,//lovelyshoes.co.kr/web/product/medium/202303/19a9f2e8fdb3d3d9c6d1d8eea653ddb4.gif,39900,29900,"쉿, 내 키의 비밀! 빵빵한 3cm 속굽♥!
러블리 에디션 ver.25 스니커즈 블로퍼"
